City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
394,Candelaria,PH,78.39,overcast clouds,13.9311,121.4233,Casa de Provincia
395,Key West,US,84.2,few clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
400,Kampong Thum,KH,78.73,overcast clouds,12.7111,104.8887,Sambor Village Hotel
402,Bac Lieu,VN,80.06,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
403,Richards Bay,ZA,66.33,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
411,Itarema,BR,78.78,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
413,Anniston,US,72.77,clear sky,33.6598,-85.8316,"Hotel Finial, BW Premier Collection"
416,Buala,SB,86.72,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
418,Guymon,US,75.2,clear sky,36.6828,-101.4816,Super 8 Guymon
419,Tres Picos,MX,79.84,few clouds,15.8667,-93.5333,Tres picos Chiapas
420,Reconquista,AR,72.45,light rain,-29.15,-59.65,Grand Hotel
421,Vao,NC,70.38,light rain,-22.6667,167.4833,Hotel Kou-Bugny
422,San Juan,AR,79.47,overcast clouds,-31.5375,-68.5364,Hotel Provincial
423,Gouyave,GD,83.17,few clouds,12.1646,-61.7296,Rumboat Retreat
428,Minab,IR,69.3,clear sky,27.1467,57.0801,Bam campground
429,Nouadhibou,MR,67.98,clear sky,20.931,-17.0347,El Medina
430,Muros,ES,65.23,clear sky,42.7762,-9.0603,Apartment Av. Castelao
432,Sinnamary,GF,79.72,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
437,Beirut,LB,75.38,scattered clouds,33.8889,35.4944,"Crowne Plaza Beirut, an IHG Hotel"
438,Mitsamiouli,KM,76.06,few clouds,-11.3847,43.2844,Foyer ADM
439,Wilmington,US,70.92,overcast clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
440,San Joaquin,US,70.63,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
441,Grand Gaube,MU,71.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
449,Rafaela,AR,73.0,few clouds,-31.2503,-61.4867,Parra Hotel & Suites
450,Lethem,GY,82.83,clear sky,3.3803,-59.7968,Savannah Inn
454,Namibe,AO,67.98,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
457,Laredo,US,93.85,clear sky,27.5064,-99.5075,La Posada Hotel
459,Villarrica,PY,68.9,clear sky,-25.75,-56.4333,Mansión Reljuv Tours SA
460,Colares,PT,71.8,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
467,Magadi,IN,68.34,overcast clouds,12.9667,77.2333,SVB Caters
469,Namatanai,PG,86.43,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
470,Porto Velho,BR,80.65,clear sky,-8.7619,-63.9039,Hotel Central
478,Missungwi,TZ,72.14,overcast clouds,-2.85,33.0833,Sundi Bar and Lodge
483,Ocumare Del Tuy,VE,82.53,overcast clouds,10.1165,-66.7761,Lennys
