City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
233,Havoysund,NO,70.9963,24.6622,40.08,69,100,26.82,overcast clouds
234,Alyangula,AU,-13.8483,136.4192,84.52,61,27,6.22,scattered clouds
235,Sibolga,ID,1.7427,98.7792,80.73,76,80,0.31,broken clouds
236,Bambous Virieux,MU,-20.3428,57.7575,71.22,94,40,3.44,scattered clouds
237,Amahai,ID,-3.3333,128.9167,85.23,70,100,3.24,overcast clouds
238,Doka,SD,13.5167,35.7667,71.31,94,96,8.39,overcast clouds
239,Bengkulu,ID,-3.8004,102.2655,78.42,85,81,2.59,broken clouds
240,Belaya Gora,RU,68.5333,146.4167,19.67,76,100,9.37,overcast clouds
241,Jieshi,CN,22.8134,115.8257,77.95,85,100,29.75,light rain
242,Ahipara,NZ,-35.1667,173.1667,58.93,53,46,14.29,scattered clouds
243,Bako,ET,5.7833,36.5667,62.65,92,100,3.29,moderate rain
244,Saldanha,ZA,-33.0117,17.9442,59.05,97,100,6.71,overcast clouds
245,Maragogi,BR,-9.0122,-35.2225,75.6,78,30,9.17,scattered clouds
246,Guarapari,BR,-20.6667,-40.4975,69.69,90,91,5.55,overcast clouds
247,Te Horo,NZ,-40.8084,175.1233,49.68,86,100,10.0,moderate rain
248,Port Hedland,AU,-20.3167,118.5667,86.05,8,0,19.57,clear sky
249,Chokurdakh,RU,70.6333,147.9167,17.42,93,100,7.47,overcast clouds
250,Chiguayante,CL,-36.9167,-73.0167,52.32,82,75,3.44,broken clouds
251,Biloela,AU,-24.4167,150.5,86.2,41,2,11.34,clear sky
252,Rio Gallegos,AR,-51.6226,-69.2181,55.45,30,0,19.57,clear sky
253,Chuy,UY,-33.6971,-53.4616,60.26,97,100,5.61,overcast clouds
254,Puerto Quijarro,BO,-17.7833,-57.7667,83.39,61,21,1.54,few clouds
255,Khovu-Aksy,RU,51.1333,93.6,30.15,88,100,2.86,overcast clouds
256,Touros,BR,-5.1989,-35.4608,76.1,72,98,13.47,overcast clouds
257,Mlowo,TZ,-9.0,32.9833,61.9,81,99,3.29,light rain
258,Koumac,NC,-20.5667,164.2833,78.24,73,16,13.29,few clouds
259,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.72,98,100,0.43,moderate rain
260,Truro,GB,50.2653,-5.0544,54.68,94,82,5.75,broken clouds
261,Schoneiche,DE,52.4667,13.6833,43.93,83,20,6.91,few clouds
262,Sao Felix Do Xingu,BR,-6.6447,-51.995,77.74,76,42,0.67,scattered clouds
263,Nikolskoye,RU,59.7035,30.7861,42.87,91,100,4.9,light rain
264,Ormara,PK,25.2088,64.6357,80.2,30,0,8.5,clear sky
265,Portland,US,45.5234,-122.6762,54.45,76,90,1.99,light rain
